city,lat,lng,country,state,population_city,greenspacearea_km2,obesity_rate,smoking_rate,exercising_rate,chronic_rate,life_expectancy,population_state,adjusted_obesity_rate,adjusted_smoking_rate,adjusted_exercising_rate,adjusted_chronic_rate,adjusted_life_expectancy,AQI
New York,40.6943,-73.9249,United States,New York,18908608.0,9.58,30.1,11.5,50.7,15.7,77.7,19571216,29.080926846855096,11.110653114246963,48.98348807759314,15.168456860319766,75.06936930234689,
Chicago,41.8375,-87.6866,United States,Illinois,8497759.0,0.29,33.4,12.8,50.0,15.6,76.8,12549689,22.616110295641587,8.667251849826718,33.85645253838561,10.563213191976311,52.003511098960296,
Miami,25.784,-80.2101,United States,Florida,6080145.0,35.57,31.6,12.0,54.3,16.5,77.5,22610726,8.49740879616161,3.226864099808206,14.601560051632132,4.436938137236283,20.840163977928,
Houston,29.786,-95.3885,United States,Texas,5970127.0,52.57,35.5,12.0,49.4,16.6,76.5,30503301,6.948084356509481,2.3486482331863034,9.668601893283615,3.2489633892410534,14.972632486562684,
Dallas,32.7935,-96.7667,United States,Texas,5830932.0,79.91,35.5,12.0,49.4,16.6,76.5,30503301,6.7860880368324725,2.293888913858864,9.443176028718991,3.1732129975047623,14.623541825850259,
Philadelphia,40.0077,-75.1339,United States,Pennsylvania,5683533.0,53.54,33.4,15.6,50.8,18.5,76.8,12961683,14.645474835328097,6.840401420093363,22.27515334235531,8.112014504597898,33.67582237584425,
Atlanta,33.7628,-84.422,United States,Georgia,5180179.0,147.34,37.0,12.8,49.1,17.4,75.6,11029227,17.378064936010475,6.011871112998218,23.0611618475166,8.172387294231951,35.50761376114572,
Washington,38.9047,-77.0163,United States,Washington,678972.0,73.15,24.3,11.0,56.5,13.7,75.3,5116378,3.2247460215019297,1.459761573519392,7.497866263985968,1.8180666870196063,9.992731498728201,
Phoenix,33.5722,-112.0892,United States,Arizona,4064275.0,10.15,33.2,13.1,54.0,16.8,76.3,7431344,18.157405982013483,7.16451862543303,29.533130211708674,9.18808495475381,41.729219169506884,
Seattle,47.6211,-122.3244,United States,Washington,3561397.0,1.06,31.7,10.1,58.7,15.8,79.2,7812880,14.450021618148492,4.60395010546687,26.757611009000524,7.2022189768689655,36.10226221316595,
